GCIS_KEY,PERIOD_ID,TARGET_F,MBNCZZ_CUST_INIT_TRAN_COUNT,MBNCZZ_CUR_OTH_DEP_AMT,CINCZZ_EXPLICIT_INCOME,MBNCZZ_CUR_SAL_CREDIT_AMT,MBNCZZ_ABS_SPOT_AMT,CPNCZZ_MFI_TRAN_COUNT,CUNCZZ_AGE_YEARS,CPNCZZ_REL_AGE_IN_MTH,MBNCZZ_DEP_SPOT_BAL_AMT,CFNCZZ_ACC_TO_FUNDS,CPBCZZ_ACCT_CLOSE_IND,MBNHMI_AVG_OTH_DEP_AMT,MBBHMI_EVERYDAY_BANKER_IND,TRNHDL_AVG_DEPOSIT_AMT,MBOHDL_QUALITY_DEP_IND,CONHDL_SECURITY_AMT,CFNHDL_CURRENT_LVR,MBNHIC_AVG_CUST_INIT_TRAN_C,CMNHDL_FULL_FI_AMT,TRNHSL_TOT_WITHDRAWAL_CNT
51693313,201807,0,204,379.35,1028.87,5767.51,3460.23,204,36,173,3460.23,3460.23,0,85.08,1,50.91,0,0,0,197.11,-40.33,-1.09
52393619,201803,0,438,87187.09,0,2000,343602.63,438,59,141,0,343906,0,51676.2,1,213.47,0,0,0.01,338.61,77.7,8.57
51386869,201806,1,51,0,1256.31,1256.31,452.33,51,43,182,452.33,452.33,0,0,0,139.59,0,0,0,52.84,8.14,-2.11
7074117,201807,1,30,950,0,0,601.07,30,70,445,371.36,5371.36,0,416.67,0,-22.59,0,0,0,31.01,-7.58,0.43
53796005,201804,0,91,1582,0,10257.68,30217.55,91,21,84,2733.93,30733.93,0,177.59,1,488.1,0,14850,1.85,71.07,19.25,-3.63
78876501,201804,0,147,17625,0,0,347838.6,147,30,52,3643.29,387643.29,0,11806.33,1,0,-1,875189,0.38,146.54,228.36,0
55277262,201806,1,14,2797.3,0,5426.67,2846.85,14,33,30,1662.12,13862.12,0,407.44,1,-2270.66,0,0,0,43.4,7.76,-6.46
52726741,201805,1,36,2200,0,0,7.84,36,47,130,7.84,7.84,0,33.33,0,1060,1,0,0,9.25,-23.09,4.66
50275080,201803,1,39,20000,0,0,26638.11,39,46,224,26638.11,26638.11,0,111.18,0,1385.64,1,0,0,62.4,8.46,-1.74
40602467,201805,0,164,199.7,4158.09,12516.4,15357.47,165,36,267,697.47,32628.47,0,420.25,1,-97.57,0,0,0,166.24,-7.78,0
54918665,201805,0,31,20800,0,0,214681.39,31,0,42,69271.17,219271.17,0,33333.33,1,-3056.57,0,0,0,33.12,0.52,1.03
50666768,201803,0,135,8970.13,6850.16,25509.25,572566.08,135,45,208,1436.42,711436.42,0,6057.59,1,-2.01,0,0,-0.04,124.08,-13.54,1.29
52393333,201806,0,11,1254495.77,0,0,1172488.8,45,0,144,1172488.8,1172488.8,0,20849.05,1,83348.59,0,0,0,15.18,0,5.11
55028297,201804,1,16,702.72,222.72,0,0.81,16,20,36,0.81,0.81,0,511.73,1,-36.04,0,0,0,17.18,-5.21,0.43
55714220,201805,1,23,165300.16,0,10683.5,4.93,23,25,13,0,0,0,266.67,0,21050.37,1,0,0,43.95,-10.02,1.74
53882311,201805,1,17,1410,0,0,15242.25,17,25,81,15242.25,15242.25,0,828.33,1,185.86,0,0,0,13.86,-4.95,-0.17
54923218,201805,1,10,2000,0,0,1686.47,10,28,41,1686.47,2686.47,0,466.67,0,0,0,0,0,29.06,-2.25,-2.17
51349225,201807,0,14,4895,0,0,42775.49,14,0,185,42775.49,42775.49,0,366.67,0,979,1,0,0,3.73,-1.26,-0.23
53549330,201806,0,62,147.3,0,20398,1647.9,63,33,85,1647.9,41647.9,0,271.63,1,13.42,1,0,0,52.02,3.89,2.83
78805251,201805,1,7,17474.99,0,0,4364.88,7,36,9,4364.88,410282.88,0,3218.09,0,0,1,0,0,6.5,30.68,0
55813059,201804,0,13,1945,0,0,348054.92,13,33,6,2059.59,357459.59,0,2119,0,449.13,1,375000,0.92,17.98,0,0.6
51043564,201804,0,140,4896.13,0,0,879455.7,140,51,194,21291.12,886071.03,1,3878.18,1,6713.22,0,419000,0.03,146.57,405.3,0.31
40264495,201805,0,11,0,3022.35,7029.01,19796.39,11,60,221,19796.39,19796.39,0,0,1,12,0,0,0,6.83,0.63,-0.31
55976257,201807,1,75,1062.4,4973.48,7815.98,114.69,75,25,5,0,0,0,0,0,462.89,-1,0,0,39.19,3.75,15.77
55833104,201806,1,19,720.27,695.27,0,0.56,19,18,9,0,0,0,1005.39,1,-329.4,0,0,0,35.81,12.18,-0.14
53700129,201806,0,6,1887.5,0,0,453.42,6,0,90,453.42,409013.42,0,1726.5,1,-925.63,0,0,0,10.49,0,-0.17
55974565,201805,1,274,436.25,3386.34,7316.63,477.65,274,20,3,477.65,477.65,0,746.24,1,132.28,-1,0,0,294.78,7.08,56.2
40201885,201805,0,107,74.1,7873.87,23397.83,83209.81,107,58,426,0,112000,0,151.25,1,-2017.83,0,0,0.01,89.59,4.14,2.4
55617194,201807,1,58,1542.03,701.36,2015.12,1.43,58,48,19,1.43,1.43,0,497.23,1,-131.16,0,0,0,39.3,-13.32,-6.51
53760449,201805,0,106,1241.15,2138.43,1381.38,4482.21,106,23,86,650.88,4650.88,0,52.84,1,-3.11,0,0,0,59,-2.77,-6.17
53538354,201804,1,10,822.75,539,18270.43,580.54,10,45,96,580.54,580.54,0,2122.5,1,-671.92,0,0,0,53.62,2.74,-7.63
41104073,201805,1,21,1992,0,0,21882.92,21,0,388,21882.92,21882.92,0,0,0,94.86,0,0,0,5.07,0,-0.74
50074873,201807,1,78,1538.96,0,0,879442.3,79,76,212,879442.3,879442.3,0,106.88,0,-62932.2,0,0,0,76.48,22.87,7.4
52717940,201806,1,16,0,0,2316.21,7499.63,16,24,131,7499.63,7499.63,0,838.13,1,1301.77,0,0,0,39.94,1.51,-1.8
52816800,201806,1,32,943.72,0,1515.83,6525.85,32,26,127,25.85,14025.85,0,1441.33,1,-149.52,0,0,0,82.46,-3.16,-12.71
51663160,201803,1,37,0,0,0,3477.34,37,32,171,414.42,5414.42,0,1504.62,0,-4968.85,0,0,0,11.81,-5.78,-16.54
55383422,201805,1,7,1205,0,0,347756.36,7,57,25,450,357950,0,0,0,-1824.67,0,0,0,6.27,0.21,0.34
92331964,201806,0,80,1125,1061.3,9139.05,164071.77,80,62,413,122037.11,372037.11,0,1126.67,1,114.99,0,0,0.01,79.24,19.24,0.03
52572476,201804,1,10,0,0,15230.25,36159.9,10,0,134,36159.9,36159.9,0,201,1,226.47,0,0,0,10.57,0,-0.8
55279912,201807,1,10,514.79,0,1000,9.69,10,47,30,0,0,0,65,1,-245.25,0,0,0,8.89,3.87,-3.6
51979672,201806,1,21,39618.5,0,0,952.72,38,66,160,952.72,270952.72,0,3185.09,1,1473.87,0,0,-0.07,2.19,-28.71,-6.66
55665709,201803,1,28,0,163.92,415.43,6.25,28,17,13,6.25,6.25,0,0,1,-5.82,0,0,0,31.46,0.25,-3.2
53533529,201803,1,11,1463.09,375.67,0,22.65,12,0,95,22.65,22.65,0,0,0,9.85,1,0,0,5.46,15,0.29
55672456,201807,1,7,1196.4,0,0,241844.37,7,0,16,42344.37,241844.37,0,1062.56,1,-33.15,0,0,0,6.11,-0.75,0.29
