Cl_Property_ID,CL_Contract_Price,CL_Transfer_Date,Cl_History_From,Cl_Est_Land_Area,Cl_Equiv_Building_Area,Cl_Floor_Area,Cl_Bedrooms,Cl_Bathrooms,Cl_Car_Spaces,Cl_Garages,Cl_Year_Built,Cl_Materials_In_Roof,Cl_Materials_In_External_Walls,Cl_Materials_In_Floor,Cl_Bond_Amount,Cl_Access_Security_Installed,Cl_Air_Conditioned,Cl_Architectural_Style,Cl_Close_To_Public_Transport,Cl_Condition,Cl_Construction_Type,Cl_Dining_Rooms,Cl_Ensuites,Cl_Family_Rooms,Cl_Fireplace,Cl_Floor_Level_Of_Unit,Cl_Frontage,Cl_Lounge_Rooms,Cl_Street_Frontage_Size,Cl_Games_Rooms,Cl_Kitchens,Cl_Meal_Rooms,Cl_Study_Rooms,Cl_Floor_Levels_Inside_Unit,Cl_On_Main_Road,Cl_Renovated,Cl_Scenic_View,Cl_Swimming_Pool,Cl_Toilets,Cl_Heritage_Flag,CL_Property_Type,CL_Unit_No,CL_Unit_No_Derived,CL_Street_No_Start,CL_Street_No_End,CL_Street_Name,CL_Street_Type,CL_Street_Direction,CL_Suburb,CL_Postcode,CL_State,CL_Land_Area
10620358,355000,21/11/2013,4/07/2013,388,135,115,3,2,2,2,2008,Colorbond Metal,Brick,?,?,?,Y,Convenl,?,Good,?,1,1,?,?,?,22.51,1,22.51,?,?,?,?,?,?,?,?,?,?,?,House,?,?,26,?,Harbour View,Terrace,?,Victor Harbor,5211,SA,388
10629305,275000,16/05/2015,16/05/2015,604,?,158,2,2,2,2,1998,?,Hardiplank,?,1174,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,11,?,Outlook,Drive,?,Cowes,3922,VIC,603
10638354,295000,17/01/2012,17/01/2012,3,?,?,3,1,1,1,?,?,?,?,1173,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,?,House,?,?,18,?,Bowral,Loop,?,Craigieburn,3064,VIC,319
10652118,560000,24/04/2014,24/04/2014,609,?,?,3,2,?,?,1964,Concrete Tile,Brick Veneer,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,6,?,Nevis,Street,?,West Beach,5024,SA,609
10654161,0,16/12/2010,16/12/2010,877,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,34,?,Blanford,Street,?,West Croydon,5008,SA,894
10663018,0,4/07/2012,4/09/2011,1215,?,?,3,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,23,?,Cherryhills,Drive,?,Cranbourne,3977,VIC,1215
10665219,315000,7/11/2014,3/11/2014,604,?,?,3,1,1,2,?,?,?,Carpet Floor,1170,?,Y,?,?,?,?,?,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,18,?,Dearing,Avenue,?,Cranbourne,3977,VIC,604
10677741,230000,13/09/2012,13/09/2012,800,?,?,3,1,1,1,?,?,?,Carpet Floor Concrete Floor Vinyl Floor,?,?,Y,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,85,?,Russell,Street,?,Whyalla Norrie,5608,SA,763
10714396,560000,22/06/2014,22/06/2014,515,?,?,3,2,6,2,?,?,?,Carpet Floor,?,?,Y,?,?,?,?,1,?,1,?,?,?,1,?,?,?,?,?,?,?,?,?,?,2,?,House,?,?,16,?,Alamein,Avenue,?,Croydon,3136,VIC,864
10720213,550000,14/07/2017,24/06/2017,789,?,?,3,1,4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,House,?,?,67,?,Harvey,Street,East,Woodville Park,5011,SA,778
